STOCK_ID,CLOSE_PRICE,PRICE_CHANGE,BASE_PRICE,OPEN_PRICE,HIGHEST_PRICE,LOWEST_PRICE,MATCHED_VOLUME,MATCHED_AMOUNT,SELF_DEALED_VOLUME,SELF_DEALED_AMOUNT,RECORDED_DATE
DMC,64.6,4.20 (6.95 %),60.4,63.9,64.6,63.9,19700,1.27 TỶ,0,0,11/03/2024
CTR,112.5,7.30 (6.94 %),105.2,106.0,112.5,105.9,877000,97.85 TỶ,0,0,11/03/2024
NO1,8.99,0.58 (6.90 %),8.41,8.35,8.99,8.15,512400,4.49 TỶ,0,0,11/03/2024
VRC,10.55,0.68 (6.89 %),9.87,10.55,10.55,10.55,280000,2.95 TỶ,0,0,11/03/2024
BFC,31.1,1.80 (6.14 %),29.3,29.9,31.35,29.45,1034800,32.09 TỶ,0,0,11/03/2024
STK,31.45,1.75 (5.89 %),29.7,30.15,31.7,29.7,94300,2.91 TỶ,0,0,11/03/2024
FRT,154.5,8.50 (5.82 %),146.0,147.5,156.2,146.5,1364000,210.4 TỶ,0,0,11/03/2024
LIX,67.1,3.20 (5.01 %),63.9,63.5,67.5,63.5,72800,4.76 TỶ,0,0,11/03/2024
IDI,13.0,0.60 (4.84 %),12.4,12.75,13.25,12.7,8804000,115.12 TỶ,0,0,11/03/2024
PHR,58.8,2.60 (4.63 %),56.2,56.2,60.1,56.2,1827100,107.24 TỶ,0,0,11/03/2024
TMS,55.0,2.30 (4.36 %),52.7,52.8,55.0,52.6,22500,1.22 TỶ,0,0,11/03/2024
HRC,49.45,2.00 (4.21 %),47.45,49.45,49.45,47.45,400,0.02 TỶ,0,0,11/03/2024
DBC,30.6,1.20 (4.08 %),29.4,29.6,30.7,29.6,24071400,728.11 TỶ,0,0,11/03/2024
CSV,59.0,2.10 (3.69 %),56.9,57.2,59.5,57.2,2355400,138.08 TỶ,0,0,11/03/2024
PDN,115.0,3.80 (3.42 %),111.2,103.5,115.0,103.5,700,0.08 TỶ,0,0,11/03/2024
LGC,61.9,2.00 (3.34 %),59.9,61.9,61.9,61.9,100,0.01 TỶ,0,0,11/03/2024
DAT,9.94,0.32 (3.33 %),9.62,9.62,10.0,9.62,2800,0.03 TỶ,0,0,11/03/2024
SPM,11.25,0.35 (3.21 %),10.9,11.25,11.25,11.25,100,0 TỶ,0,0,11/03/2024
PTB,60.5,1.80 (3.07 %),58.7,58.7,61.4,58.7,1205900,73.11 TỶ,130000,7631000000,11/03/2024
BTP,20.4,0.60 (3.03 %),19.8,20.3,20.6,20.25,699900,14.3 TỶ,0,0,11/03/2024
SRF,9.19,0.27 (3.03 %),8.92,9.1,9.19,8.57,65800,0.59 TỶ,0,0,11/03/2024
FTS,60.9,1.60 (2.70 %),59.3,60.8,62.2,60.0,2611700,160 TỶ,0,0,11/03/2024
