STOCK_ID,PRICE,PRICE_CHANGE_VALUE,BUY_ORDER_QUANTITY,BUY_ORDER_VOLUME,VOLUME_PER_BUY_ORDER,UNMATCHED_BUY_ORDER_QUANTITY,SELL_ORDER_QUANTITY,SELL_ORDER_VOLUME,VOLUME_PER_SELL_ORDER,UNMATCHED_SELL_ORDER_QUANTITY,NET_VOLUME,RECORDED_DATE
CEO,22.6,0.40 (1.80 %),7360,23312900,3168,5201412,13577,31421000,2314,13309512,-8108100,01/03/2024
AMV,3.9,0.00 (0.00 %),721,3230200,4480,2079762,666,3999200,6005,2848762,-769000,01/03/2024
APS,6.2,0.00 (0.00 %),615,1080000,1756,371580,424,1504100,3547,795680,-424100,01/03/2024
AAV,3.8,-0.10 (-2.56 %),351,891000,2538,292654,271,1673500,6175,1075154,-782500,01/03/2024
C69,7.7,0.10 (1.32 %),432,729900,1690,245930,314,929100,2959,445130,-199200,01/03/2024
BCC,9.8,-0.10 (-1.01 %),385,519700,1350,223246,286,653900,2286,357446,-134200,01/03/2024
API,5.2,0.00 (0.00 %),311,499500,1606,221156,157,702500,4475,424156,-203000,01/03/2024
BNA,11.7,-0.30 (-2.50 %),278,429000,1543,127172,200,698000,3490,396172,-269000,01/03/2024
BAB,12.5,-0.10 (-0.79 %),66,59100,895,51593,33,37600,1139,30093,21500,01/03/2024
LUT,1.6,0.50 (45.45 %),29,59200,2041,43900,15,28300,1887,13000,30900,01/03/2024
SDT,3.6,0.00 (0.00 %),22,43200,1964,41638,17,44900,2641,43338,-1700,01/03/2024
CAG,7.5,0.10 (1.35 %),72,55700,774,32700,50,33500,670,10500,22200,01/03/2024
BTS,5.5,0.00 (0.00 %),58,36300,626,19172,46,132500,2880,115372,-96200,01/03/2024
ALT,13.6,-0.20 (-1.45 %),16,10800,675,10550,10,5400,540,5150,5400,01/03/2024
CCR,10.8,0.00 (0.00 %),24,8200,342,8200,7,3000,429,3000,5200,01/03/2024
BCF,29.5,0.00 (0.00 %),9,13000,1444,7500,27,7400,274,1900,5600,01/03/2024
CAP,88.2,0.60 (0.68 %),66,26300,398,7243,92,46000,500,26943,-19700,01/03/2024
ADC,19.0,0.00 (0.00 %),22,7400,336,4950,13,5900,454,3450,1500,01/03/2024
BAX,42.2,0.00 (0.00 %),25,7800,312,4400,18,11400,633,8000,-3600,01/03/2024
AME,8.2,0.00 (0.00 %),10,3300,330,2900,11,8400,764,8000,-5100,01/03/2024
BLF,3.7,-0.10 (-2.63 %),9,8800,978,2140,19,29400,1547,22740,-20600,01/03/2024
BST,14.9,0.00 (0.00 %),6,2000,333,2000,4,1800,450,1800,200,01/03/2024
BBS,10.0,0.00 (0.00 %),5,2000,400,2000,1,1000,1000,1000,1000,01/03/2024
AMC,17.9,0.00 (0.00 %),6,1800,300,1800,2,600,300,600,1200,01/03/2024
BPC,9.0,0.10 (1.12 %),4,5100,1275,800,6,7700,1283,3400,-2600,01/03/2024
BKC,7.2,0.10 (1.41 %),5,800,160,500,10,2600,260,2300,-1800,01/03/2024
BDB,11.9,0.00 (0.00 %),1,200,200,200,1,200,200,200,0,01/03/2024
BSC,12.0,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,01/03/2024
ATS,12.5,0.00 (0.00 %),1,0,0,0,1,100,100,100,-100,01/03/2024
CKV,14.8,0.00 (0.00 %),0,0,-2147483648,0,2,2200,1100,2200,-2200,01/03/2024
CTX,7.5,-0.10 (-1.32 %),0,0,-2147483648,0,0,0,-2147483648,0,0,01/03/2024
DZM,2.9,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,01/03/2024
KLF,0.8,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,01/03/2024
ARM,26.7,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,01/03/2024
MIM,4.2,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,01/03/2024
BXH,18.0,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,01/03/2024
TTZ,1.8,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,01/03/2024
BED,33.0,0.00 (0.00 %),0,0,-2147483648,-1,0,0,-2147483648,-1,0,01/03/2024
CJC,25.8,0.00 (0.00 %),0,0,-2147483648,-1,1,5000,5000,4999,-5000,01/03/2024
DNM,16.8,-2.10 (-11.11 %),1,0,0,-1,15,5600,373,5599,-5600,01/03/2024
CAN,55.9,-6.20 (-9.98 %),3,500,167,-48,1,500,500,-48,0,01/03/2024
